Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2019-03-07,251.130711367033,251.27586122592075,248.62695243360795,249.4796905517578,94885100,7,3,10,3,2019
2019-03-08,247.6018460420557,249.1530918733969,247.1301297727105,248.9807281494141,85795800,8,4,10,3,2019
2019-03-11,249.7065122125347,252.75457656426624,249.67929834098385,252.5912933349609,65098900,11,0,11,3,2019
2019-03-12,253.15367231949983,254.06991858726823,252.963175263405,253.5437469482422,79667500,12,1,11,3,2019
2019-03-13,254.4419421649857,256.1655521128856,254.27863123672373,255.2220916748047,80639200,13,2,11,3,2019
2019-03-14,255.2492128688537,255.67558186239867,254.6142134788828,255.0587158203125,67518400,14,3,11,3,2019
2019-03-15,255.61732415690125,257.1389487019919,255.4259601694864,256.31890869140625,81309000,15,4,11,3,2019
2019-03-18,256.5375859452763,257.54898997218635,256.3097955021331,257.248291015625,62199800,18,0,12,3,2019
2019-03-19,258.32350739374505,259.09797272828456,256.41006192966114,257.3121032714844,90268100,19,1,12,3,2019
2019-03-20,257.0934208222471,258.31437431645713,255.4168864209533,256.53759765625,84609200,20,2,12,3,2019
